Time	gauge_0	gauge_1	gauge_2
17.6522	0.0580646	-1e+15	0.035585
17.6609	0.0588051	-1e+15	0.034179
17.6696	0.0594669	-1e+15	0.0327541
17.6783	0.0600287	-1e+15	0.0313156
17.687	0.0604808	-1e+15	0.0298738
17.6957	0.0608133	-1e+15	0.0284416
17.7043	0.0610426	-1e+15	0.0270264
17.713	0.061186	-1e+15	0.0256272
17.7217	0.0612514	-1e+15	0.0242374
17.7304	0.0612173	-1e+15	0.0228646
17.7391	0.061078	-1e+15	0.0215042
17.7478	0.0608314	-1e+15	0.0201598
17.7565	0.0604867	-1e+15	0.0188448
17.7652	0.0600532	-1e+15	0.0175548
17.7739	0.0595258	-1e+15	0.0162813
17.7826	0.0589024	-1e+15	0.0150132
17.7913	0.0581926	-1e+15	0.013738
17.8	0.0573988	-1e+15	0.0124544
17.8087	0.0565227	-1e+15	0.0111672
17.817	0.0556094	-1e+15	0.00993185
17.8253	0.0546211	-1e+15	0.00874155
17.8336	0.0535594	-1e+15	0.00761091
17.842	0.0524225	-1e+15	0.00654301
17.8503	0.0512271	-1e+15	0.00553778
17.8586	0.0499865	-1e+15	0.00458887
17.8669	0.048705	-1e+15	0.00370176
17.8752	0.0473854	-1e+15	0.00288274
17.8836	0.0460159	-1e+15	0.00218941
17.8919	0.0445957	-1e+15	0.00166485
17.9002	0.0431189	-1e+15	0.00127391
17.9085	0.0416098	-1e+15	0.000981263
17.9168	0.0400864	-1e+15	0.000757998
17.9251	0.0385588	-1e+15	0.000583681
17.9335	0.0370148	-1e+15	0.000445764
17.9418	0.0354443	-1e+15	0.000338319
17.9501	0.0338403	-1e+15	0.000253584
17.9584	0.0322205	-1e+15	0.000185854
17.9667	0.0306041	-1e+15	0.000135569
17.975	0.0290008	-1e+15	9.89661e-05
17.9834	0.0274036	-1e+15	7.24922e-05
17.9917	0.0258	-1e+15	5.33331e-05
18	0.0241847	-1e+15	3.94487e-05
18.0083	0.0225614	-1e+15	2.93269e-05
18.017	0.0208775	6.4637e-07	2.16134e-05
18.0254	0.0192875	7.86573e-07	1.62819e-05
18.0337	0.0177233	1.02553e-06	1.23581e-05
18.042	0.0161903	1.33496e-06	9.4557e-06
18.0503	0.0146762	1.73105e-06	7.2967e-06
18.0586	0.0131816	2.23655e-06	5.6804e-06
18.0669	0.0117241	3.12776e-06	4.46194e-06
18.0753	0.0103479	6.37577e-06	3.53574e-06
18.0836	0.00909282	1.21881e-05	2.82509e-06
